gauge,start_index,end_index,length
416008,31,52,22
416008,54,56,3
416010,18,63,46
416016,17,59,43
416016,61,63,3
416020,21,23,3
416020,25,28,4
416020,30,63,34
416023,21,23,3
416023,25,63,39
416032,16,29,14
416032,31,63,33
418005,14,63,50
418014,13,14,2
418014,16,18,3
418014,20,30,11
418014,33,63,31
418015,13,17,5
418015,19,24,6
418015,27,36,10
418015,39,63,25
418017,21,23,3
418017,26,29,4
418017,31,63,33
418021,20,21,2
418021,23,31,9
418021,33,63,31
418025,22,23,2
418025,25,63,39
418027,14,26,13
418027,30,63,34
419005,1,16,16
419005,18,20,3
419005,22,25,4
419005,27,31,5
419005,33,63,31
419010,22,31,10
419010,33,63,31
419016,16,30,15
419016,32,63,32
419029,21,25,5
419029,27,28,2
419029,33,53,21
419029,58,63,6
419035,24,25,2
419035,29,63,35
419054,17,30,14
419054,33,63,31
420003,18,19,2
420003,25,29,5
420003,33,42,10
420003,46,49,4
420003,52,54,3
420003,56,63,8
420017,24,30,7
420017,32,50,19
420017,52,54,3
420017,56,63,8
421018,17,20,4
421018,26,31,6
421018,33,54,22
421018,56,59,4
421018,61,63,3
421026,16,18,3
421026,20,25,6
421026,29,33,5
421026,36,39,4
421026,44,58,15
421026,61,63,3
421042,18,21,4
421042,23,30,8
421042,32,52,21
421042,54,63,10
421048,29,32,4
421048,34,45,12
421048,49,63,15
421050,20,23,4
421050,26,32,7
421050,34,35,2
421050,37,46,10
421050,48,60,13
422202B,1,63,63
422306A,1,63,63
422313B,15,36,22
422313B,38,56,19
422319B,11,36,26
422319B,38,63,26
422321B,15,60,46
422334A,12,62,51
422338A,17,63,47
422394A,15,63,49
424002,18,63,46
424201A,10,29,20
424201A,32,63,32
602004,19,63,45
603003,17,63,47
603004,26,63,38
603005,28,63,36
603007,28,63,36
603136,3,63,61
603190,5,63,59
604001,22,63,42
604053,1,63,63
605012,1,63,63
606001,18,63,46
606002,25,63,39
606185,6,40,35
606185,53,56,4
606195,6,62,57
607003,13,63,51
607004,17,63,47
607007,21,54,34
607007,58,63,6
607013,22,63,42
607144,4,63,60
607155,4,41,38
607155,50,54,5
607220,9,63,55
608002,18,63,46
608151,1,63,63
609002,12,63,52
609005,18,54,37
609005,58,63,6
609010,21,63,43
609018,26,63,38
610001,13,63,51
610008,20,40,21
610008,48,56,9
611004,23,63,41
611111,1,63,63
612001,11,63,53
612014,17,63,47
612025,25,63,39
612034,1,9,9
612034,14,63,50
612230,10,63,54
613002,13,63,51
613146,4,63,60
614006,14,21,8
614006,24,31,8
614006,33,52,20
614006,54,63,10
614037,26,63,38
614044,1,2,2
614044,4,5,2
614044,8,12,5
614044,14,17,4
614044,20,21,2
614044,23,63,41
614196,13,15,3
614196,17,22,6
614196,24,31,8
614196,33,63,31
614224,9,63,55
616001,11,13,3
616001,15,17,3
616001,19,49,31
616001,51,59,9
616001,61,63,3
616002,13,25,13
616002,27,62,36
616006,23,63,41
616013,15,19,5
616013,21,24,4
616013,26,58,33
616019,18,22,5
616019,24,63,40
616041,24,63,40
616065,13,15,3
616065,17,22,6
616065,24,25,2
616065,27,40,14
616065,51,55,5
616178,10,11,2
616178,14,19,6
616178,22,62,41
616216,9,62,54
617002,14,63,50
617003,15,18,4
617003,20,63,44
701002,13,63,51
701007,19,63,45
