gauge,drought,record_length,station_name,state,lat,lon,catchment_area_sq_km,prop_forested,climate_type,major_climate_type
210052,FALSE,50,Pages River at Gundy Recorder (210052),NSW,-32.0119,150.9965,1070.4,0.71541,Cfa,Temperate (C)
211009,TRUE,41,Wyong River at Gracemere (211009),NSW,-33.2724,151.3593,236.5,0.99853,Cfa,Temperate (C)
211013,FALSE,41,Ourimbah Creek at U/S Weir (211013),NSW,-33.3497,151.3428,81.6,0.99445,Cfa,Temperate (C)
211014,FALSE,41,Wyong River at Yarramalong (211014),NSW,-33.2198,151.2734,180.9,1,Cfa,Temperate (C)
212040,TRUE,32,Kialla Creek at Pomeroy (212040),NSW,-34.6089,149.5431,91.9,0.01894,Cfb,Temperate (C)
212260,TRUE,38,Kowmung River at Cedar Ford (212260),NSW,-33.947222,150.244444,715.3,0.93213,Cfb,Temperate (C)
215002,TRUE,30,Shoalhaven River at Warri  (215002),NSW,-35.340833,149.739444,1396,0.65354,Cfb,Temperate (C)
215004,TRUE,34,Corang River at Hockeys (215004),NSW,-35.146944,150.033056,163.7,0.98552,Cfb,Temperate (C)
215207,TRUE,37,Shoalhaven River at Fossickers Flat,NSW,-34.818901,150.182923,4682,0.77608,Cfb,Temperate (C)
216002,TRUE,46,Clyde River at Brooman (216002),NSW,-35.468056,150.237222,859.7,0.98384,Cfb,Temperate (C)
216009,TRUE,35,BuCreekenbowra River at Buckenbowra No.3 (216009),NSW,-35.714,150.0342,162,0.97856,Cfb,Temperate (C)
218001,TRUE,51,Tuross River at Tuross Vale (218001),NSW,-36.265,149.510556,90.1,0.98695,Cfb,Temperate (C)
218005,TRUE,54,Tuross River at D/S Wadbilliga R Junct (218005),NSW,-36.1975,149.7606,918.9,0.92922,Cfb,Temperate (C)
