replicate,gauge,contains_CO2,streamflow_model,parameter,parameter_value,AIC
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a1,0.7026884450455624,639.0403036030048
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a3_slope,-0.00718438354909545,639.0403036030048
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a4,841.6472273615159,639.0403036030048
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,a5,118.81000004004746,639.0403036030048
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,b,0.4677095103014397,639.0403036030048
2915,117002A,TRUE,streamflow_model_slope_shifted_CO2_seasonal_ratio,sd,162.6982091513217,639.0403036030048
3003,117003A,FALSE,streamflow_model_precip_seasonal_ratio,a0,-622.2383591312041,618.1598250965326
3003,117003A,FALSE,streamflow_model_precip_seasonal_ratio,a1,0.9612617136526492,618.1598250965326
3003,117003A,FALSE,streamflow_model_precip_seasonal_ratio,a4,729.2984611791344,618.1598250965326
3003,117003A,FALSE,streamflow_model_precip_seasonal_ratio,b,0.38570317566263984,618.1598250965326
3003,117003A,FALSE,streamflow_model_precip_seasonal_ratio,sd,179.73696194000604,618.1598250965326
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a0,-597.4078817003947,618.1265905530988
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a1,0.9558256842171604,618.1265905530988
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a3_intercept,-13.72047077643765,618.1265905530988
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a4,785.1967248761594,618.1265905530988
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,a5,118.81000003809032,618.1265905530988
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,b,0.385703129065918,618.1265905530988
3103,117003A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio,sd,172.02781228745184,618.1265905530988
3292,118106A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a0,-332.6127388556679,585.5616386055179
3292,118106A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a1,0.7600331097761851,585.5616386055179
3292,118106A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a2,0.1258341506473395,585.5616386055179
3292,118106A,FALSE,streamflow_model_precip_seasonal_ratio_auto,a4,487.4135265585437,585.5616386055179
3292,118106A,FALSE,streamflow_model_precip_seasonal_ratio_auto,b,0.1812923276543517,585.5616386055179
3292,118106A,FALSE,streamflow_model_precip_seasonal_ratio_auto,sd,141.7363326850363,585.5616386055179
3320,118106A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a0,-328.80454027190217,581.688071956484
3320,118106A,TRUE,streamflow_model_intercept_shifted_CO2_seasonal_ratio_auto,a1,0.761138319975103,581.688071956484
