year,precipitation,observed_boxcox_streamflow,modelled_boxcox_streamflow,gauge,streamflow_model,objective_function,optimiser,loglikelihood
2004,1308.57119367,69.5338606189686,-204.48129973059656,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2005,881.31128568,NA,-204.50218341275726,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2006,1697.69257323,NA,-204.46228018988913,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2007,1419.17979552,57.676117607599906,-204.4758933846182,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2008,1183.15458464,40.51519106513776,-204.48742986485834,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2009,880.67420377,NA,-204.50221455215478,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2010,1697.8238849,66.32646029857808,-204.4622737716151,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2011,1615.06186061,89.9412804763205,-204.46631902785825,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2012,828.237664,40.36627028591083,-204.50477755422844,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2013,1297.91872171,38.78504362827909,-204.48182040392555,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
2014,1310.71487222,67.6062776490394,-204.48119495151326,104001A,streamflow_model_precip_only,constant_sd_objective_function,dream,119.53359979819294
1959,1287.75009277,NA,29.412477848717902,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1960,1117.59482754,NA,28.658862561785313,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1961,659.58965211,NA,26.630364053486225,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1962,1132.91305987,NA,28.72670679826585,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1963,1219.41488883,NA,29.109822187400404,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1964,1335.34365939,NA,29.623269088800864,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1965,934.52353389,NA,27.848042365850286,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1966,890.01394455,NA,27.650910017953937,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1967,1108.82302788,NA,28.62001238392716,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1968,1388.56990508,NA,29.85900738560757,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1969,1058.21009562,NA,28.39584841570636,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1970,1239.22813883,NA,29.197574794195347,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1971,1373.59589852,69.72329210928393,29.792687720241993,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1972,1418.72883265,75.54081580012122,29.992580853484235,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1973,1918.76145338,84.47183131833293,32.20721832848524,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1974,1418.23369083,95.50573131029778,29.99038787729718,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1975,1511.7407583,79.09306724596178,30.404529369694586,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1976,1500.21072531,95.85223389561112,30.35346301504282,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1977,1246.86391177,73.80648122889042,29.231393525618977,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1978,946.15659292,44.98546278493792,27.899565021390487,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1979,1603.84675065,86.29338607949182,30.81246552000549,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1980,909.03741323,42.65249492906887,27.73516469434231,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1981,1578.67962053,68.00930000612983,30.701000653132184,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1982,1388.54952804,86.73493485606294,29.85891713598276,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1983,842.15615069,21.351730793796357,27.438948519125127,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1984,1715.21785646,77.0091518956705,31.305726588051503,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1985,1404.05955892,85.51885125326638,29.9276108455554,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1986,931.44164098,35.60934979430149,27.834392705309217,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1987,1012.51394251,NA,28.193460793488743,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1988,969.71022055,NA,28.00388370833028,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1989,1179.4091471,NA,28.932637317499065,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1990,1044.82137915,NA,28.336549977949765,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1991,1180.73210024,NA,28.93849665843014,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1992,1295.85131389,NA,29.448358043612846,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1993,1297.74225235,NA,29.456732983572408,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1994,831.95955863,NA,27.39378795567947,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1995,1068.30656725,35.826202642695456,28.440565547169584,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1996,1701.47337033,NA,31.244852451452793,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1997,998.79957371,NA,28.132720046122852,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1998,1429.06360165,NA,30.03835340066219,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1999,1531.15409824,NA,30.490510780433933,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2000,1752.60703236,86.61593409752822,31.47132272453288,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2001,1137.44542518,NA,28.746780580754816,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2002,883.3267492800001,NA,27.621292523747318,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2003,913.81388241,NA,27.756319609453193,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2004,1308.57119367,69.5338606189686,29.504694213035492,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2005,881.31128568,NA,27.612366063686483,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2006,1697.69257323,NA,31.228107354041327,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2007,1419.17979552,57.676117607599906,29.9945781617204,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2008,1183.15458464,40.51519106513776,28.949225807914452,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2009,880.67420377,NA,27.609544436828475,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2010,1697.8238849,66.32646029857808,31.22868893158893,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2011,1615.06186061,89.9412804763205,30.862137084967415,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2012,828.237664,40.36627028591083,27.377303736482794,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2013,1297.91872171,38.78504362827909,29.45751456389666,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
2014,1310.71487222,67.6062776490394,29.514188535314418,104001A,streamflow_model_precip_only,CO2_variable_objective_function,dream,112.22290818227495
1959,1287.75009277,NA,12.92203844851031,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1960,1117.59482754,NA,12.921927750789177,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1961,659.58965211,NA,12.921746771167646,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1962,1132.91305987,NA,12.922123889256081,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1963,1219.41488883,NA,12.921928838001673,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1964,1335.34365939,NA,12.922118199517724,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1965,934.52353389,NA,12.921775613947721,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1966,890.01394455,NA,12.92197156703407,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1967,1108.82302788,NA,12.921965960479731,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1968,1388.56990508,NA,12.92212362103999,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1969,1058.21009562,NA,12.921840237447785,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1970,1239.22813883,NA,12.922122287143011,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1971,1373.59589852,69.72329210928393,12.922014774270846,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1972,1418.72883265,75.54081580012122,12.922108816018921,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1973,1918.76145338,84.47183131833293,12.922323658157394,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1974,1418.23369083,95.50573131029778,12.921909767498194,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1975,1511.7407583,79.09306724596178,12.922227611289689,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1976,1500.21072531,95.85223389561112,12.922016720051262,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1977,1246.86391177,73.80648122889042,12.922012920314414,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1978,946.15659292,44.98546278493792,12.921849770365348,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1979,1603.84675065,86.29338607949182,12.922316942650832,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1980,909.03741323,42.65249492906887,12.921633682064524,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1981,1578.67962053,68.00930000612983,12.922442142642929,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1982,1388.54952804,86.73493485606294,12.921817172610634,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1983,842.15615069,21.351730793796357,12.921918468215774,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1984,1715.21785646,77.0091518956705,12.922334064030956,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1985,1404.05955892,85.51885125326638,12.921895265522542,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1986,931.44164098,35.60934979430149,12.92191738136738,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1987,1012.51394251,NA,12.921947794520948,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1988,969.71022055,NA,12.921904651369903,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1989,1179.4091471,NA,12.922047893434664,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1990,1044.82137915,NA,12.921881597412607,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1991,1180.73210024,NA,12.922063457864553,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1992,1295.85131389,NA,12.922009819815916,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1993,1297.74225235,NA,12.922045378788209,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1994,831.95955863,NA,12.921765995721385,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1995,1068.30656725,35.826202642695456,12.922075939825731,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1996,1701.47337033,NA,12.922225157534195,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1997,998.79957371,NA,12.92174217921242,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1998,1429.06360165,NA,12.92228993015394,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
1999,1531.15409824,NA,12.921993656101735,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
2000,1752.60703236,86.61593409752822,12.922306268098879,104001A,streamflow_model_precip_auto,constant_sd_objective_function,dream,114.77755501907653
