gauge,streamflow_model,objective_function,parameter,parameter_values
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-3.970298307885514
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-1.497185890303058
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.013496242612111032
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,1.6323415481059418
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-223.2098278828534
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-224.8177817643384
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.035953740621673135
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,2.4242364360361633e-6
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-23.624009191068808
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-28.72594647635043
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,4.7756924779632074e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,20.547354846685575
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-110.69274521240851
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-82.77396069710247
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,3.927037887422281e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,20.790898824404998
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-80.79115337296855
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-69.87479658545138
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.051016853137792306
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,14.258642038835395
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-54.81163537409918
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-19.79525311788325
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,3.911954235372923e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,11.602082451065842
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-65.18278735921464
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,-23.624465086515215
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,1.3500306153603546e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,13.144708915845099
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-27.060785274079024
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,3.766858079441363
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,2.0002531197839722e-5
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,7.062363177340709
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-16.813570731689026
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,3.5713755204029667
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,4.930275623624005e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,4.989423814369753
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-3.6874256945419006
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.453477812825042
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,3.2988156740195167e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,4.116233283319128
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-2.7238014933222985
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.453469697339756
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,9.449092223583008e-4
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,4.627805950920163
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.170588080117398
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,3.0634464303436744
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.001901302904403297
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155703621018437
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.170588080117398
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,3.0634464303436744
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a1,0.001901302904403297
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,sd,5.155703621018437
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_d,-7.170590509617853
408202,streamflow_model_drought_precip_only,constant_sd_objective_function,a0_n,4.113803164956892
